nameWithOwner,url,stargazerCount,createdAt,updatedAt,pushedAt,primaryLanguage,mergedPullRequests,releases,issues,closedIssues
airbnb/lottie-android,https://github.com/airbnb/lottie-android,35704,2016-10-06T22:42:42Z,2026-08-20T14:24:51Z,2026-02-15T22:03:57Z,Java,720,63,1814,1755
permissionlesstech/bitchat,https://github.com/permissionlesstech/bitchat,35693,2025-07-04T14:34:38Z,2026-08-20T18:41:05Z,2026-08-16T06:06:55Z,Swift,508,20,404,365
jondot/awesome-react-native,https://github.com/jondot/awesome-react-native,35690,2015-03-26T19:58:06Z,2026-08-20T09:35:01Z,2024-07-05T13:12:41Z,JavaScript,912,0,77,38
koajs/koa,https://github.com/koajs/koa,35688,2013-07-20T18:53:45Z,2026-08-20T11:45:35Z,2026-08-11T12:48:44Z,JavaScript,554,18,933,915
opentofu/manifesto,https://github.com/opentofu/manifesto,35674,2023-08-13T16:17:24Z,2026-08-20T12:32:20Z,2025-03-18T18:26:51Z,HTML,765,0,26,14
restic/restic,https://github.com/restic/restic,35624,2014-04-27T14:07:58Z,2026-08-20T18:10:42Z,2026-08-01T20:25:16Z,Go,2442,51,3011,2546
gchq/CyberChef,https://github.com/gchq/CyberChef,35619,2016-11-28T10:34:07Z,2026-08-20T15:54:05Z,2026-08-20T10:50:23Z,JavaScript,797,458,1249,822
microsoft/graphrag,https://github.com/microsoft/graphrag,35597,2024-03-27T17:57:52Z,2026-08-20T16:38:56Z,2026-08-19T15:22:39Z,Python,755,41,837,832
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,35583,2015-03-28T16:52:40Z,2026-08-20T14:04:41Z,2025-01-01T19:14:38Z,JavaScript,98,0,30,20
continuedev/continue,https://github.com/continuedev/continue,35560,2023-05-24T03:39:39Z,2026-08-20T17:57:38Z,2026-08-20T10:27:05Z,TypeScript,4078,827,6665,6179
refinedev/refine,https://github.com/refinedev/refine,35547,2021-01-20T12:01:32Z,2026-08-20T15:37:53Z,2026-06-05T15:19:38Z,TypeScript,4697,1000,1743,1734
drizzle-team/drizzle-orm,https://github.com/drizzle-team/drizzle-orm,35529,2021-06-24T09:03:05Z,2026-08-20T16:44:20Z,2026-08-19T09:27:02Z,TypeScript,713,182,3722,2346
jqlang/jq,https://github.com/jqlang/jq,35477,2012-07-18T19:57:25Z,2026-08-20T13:29:00Z,2026-08-12T19:02:39Z,C,709,16,2350,1990
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,35409,2013-09-20T11:58:29Z,2026-08-20T11:32:23Z,2026-03-17T16:13:31Z,JavaScript,327,109,4155,4045
tailscale/tailscale,https://github.com/tailscale/tailscale,35397,2020-01-31T22:00:03Z,2026-08-20T17:56:18Z,2026-08-20T18:16:22Z,Go,8716,160,10592,6597
casey/just,https://github.com/casey/just,35391,2016-06-17T06:08:08Z,2026-08-20T18:31:21Z,2026-08-12T23:47:50Z,Rust,1794,146,1468,1298
kuchin/awesome-cto,https://github.com/kuchin/awesome-cto,35351,2016-12-16T19:22:18Z,2026-08-20T14:06:04Z,2026-03-02T12:50:21Z,,18,0,15,15
nativefier/nativefier,https://github.com/nativefier/nativefier,35288,2015-07-05T05:56:42Z,2026-08-20T11:32:24Z,2023-09-29T13:45:16Z,TypeScript,261,99,1237,982
typicode/husky,https://github.com/typicode/husky,35278,2014-06-23T12:14:21Z,2026-08-20T14:41:38Z,2026-03-19T23:03:16Z,JavaScript,263,80,1114,1032
VectifyAI/PageIndex,https://github.com/VectifyAI/PageIndex,35266,2025-04-01T10:53:54Z,2026-08-20T16:40:54Z,2026-08-20T10:46:06Z,Python,95,8,121,53
geekcomputers/Python,https://github.com/geekcomputers/Python,35265,2011-11-30T09:04:08Z,2026-08-20T17:12:28Z,2026-08-17T11:05:26Z,Python,2034,0,542,162
blakeblackshear/frigate,https://github.com/blakeblackshear/frigate,35252,2019-01-26T13:52:38Z,2026-08-20T18:40:29Z,2026-08-19T13:17:54Z,TypeScript,4168,81,6032,5955
sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,35243,2013-11-13T17:24:12Z,2026-08-20T14:04:41Z,2026-08-20T13:29:25Z,JavaScript,609,18,728,727
hehonghui/awesome-english-ebooks,https://github.com/hehonghui/awesome-english-ebooks,35223,2022-06-28T02:45:44Z,2026-08-20T18:29:01Z,2026-08-14T21:46:01Z,CSS,0,0,0,0
fxsjy/jieba,https://github.com/fxsjy/jieba,35123,2012-09-29T07:52:01Z,2026-08-20T18:32:22Z,2024-08-21T09:23:45Z,Python,96,9,877,231
geekan/HowToLiveLonger,https://github.com/geekan/HowToLiveLonger,35099,2022-04-16T04:15:18Z,2026-08-20T14:20:20Z,2025-05-19T14:10:41Z,,14,0,142,103
DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io,35097,2025-03-23T15:03:48Z,2026-08-20T18:25:21Z,2026-08-20T16:46:57Z,TypeScript,443,18,332,189
utmapp/UTM,https://github.com/utmapp/UTM,35066,2019-04-12T16:09:24Z,2026-08-20T15:56:40Z,2026-08-05T07:54:18Z,Swift,292,130,3706,2630
netty/netty,https://github.com/netty/netty,35038,2010-11-09T09:22:21Z,2026-08-20T17:06:38Z,2026-08-20T17:36:04Z,Java,5765,13,6950,6365
unknwon/the-way-to-go_ZH_CN,https://github.com/unknwon/the-way-to-go_ZH_CN,35036,2013-03-24T17:18:38Z,2026-08-20T09:11:35Z,2024-08-14T07:04:25Z,Go,592,0,0,0
bumptech/glide,https://github.com/bumptech/glide,35026,2013-07-08T22:52:33Z,2026-08-20T09:33:59Z,2026-08-20T17:51:21Z,Java,640,59,4534,3941
sorrycc/awesome-javascript,https://github.com/sorrycc/awesome-javascript,35017,2014-07-01T15:59:02Z,2026-08-20T17:58:19Z,2026-08-19T17:00:42Z,,414,0,112,107
zellij-org/zellij,https://github.com/zellij-org/zellij,35013,2020-09-01T14:04:28Z,2026-08-20T18:01:04Z,2026-08-20T09:12:36Z,Rust,1526,70,2834,1309
esengine/DeepSeek-Reasonix,https://github.com/esengine/DeepSeek-Reasonix,34940,2026-04-21T08:27:02Z,2026-08-20T18:41:25Z,2026-08-20T18:37:22Z,Go,3389,194,4150,3056
awesome-foss/awesome-sysadmin,https://github.com/awesome-foss/awesome-sysadmin,34940,2014-12-23T08:41:22Z,2026-08-20T14:31:06Z,2026-08-19T09:58:40Z,,369,0,108,108
gitroomhq/postiz-app,https://github.com/gitroomhq/postiz-app,34918,2023-07-08T17:24:22Z,2026-08-20T18:09:47Z,2026-08-20T10:48:53Z,TypeScript,299,199,791,633
laravel/framework,https://github.com/laravel/framework,34875,2013-01-10T21:27:28Z,2026-08-20T14:38:05Z,2026-08-20T14:20:57Z,PHP,18505,966,19315,19255
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,34677,2019-09-05T21:30:20Z,2026-08-20T18:25:09Z,2026-08-19T05:38:53Z,Python,0,10,3574,3102
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,34655,2019-01-08T06:01:56Z,2026-08-20T16:01:34Z,2026-08-20T12:35:19Z,JavaScript,161,55,1118,975
TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,34588,2016-07-16T10:19:45Z,2026-08-20T13:25:59Z,2025-10-11T14:51:22Z,C++,705,0,344,334
BVLC/caffe,https://github.com/BVLC/caffe,34560,2013-09-12T18:39:48Z,2026-08-18T20:56:55Z,2024-07-31T23:10:28Z,C++,1087,14,5229,3939
lissy93/web-check,https://github.com/lissy93/web-check,34555,2023-06-25T14:32:11Z,2026-08-20T18:32:54Z,2026-08-11T09:01:27Z,TypeScript,74,3,149,145
ocrmypdf/OCRmyPDF,https://github.com/ocrmypdf/OCRmyPDF,34520,2013-12-20T08:26:28Z,2026-08-20T18:27:53Z,2026-08-18T23:58:51Z,Python,202,62,1360,1268
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,34508,2016-10-16T14:48:28Z,2026-08-20T18:30:42Z,2026-08-20T10:19:43Z,Python,1493,143,6992,6984
v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,34497,2019-04-15T10:05:54Z,2026-08-20T15:12:55Z,2026-08-17T22:52:51Z,Go,1037,130,1113,1088
nothings/stb,https://github.com/nothings/stb,34451,2014-05-25T16:51:23Z,2026-08-20T17:20:54Z,2026-08-02T06:42:09Z,C,294,0,987,738
anthropics/financial-services,https://github.com/anthropics/financial-services,34434,2026-02-23T19:24:50Z,2026-08-20T18:18:27Z,2026-08-04T14:41:29Z,Python,40,0,88,9
raysan5/raylib,https://github.com/raysan5/raylib,34406,2013-10-24T15:46:04Z,2026-08-20T18:08:43Z,2026-08-20T14:25:23Z,C,2661,25,2228,2218
derailed/k9s,https://github.com/derailed/k9s,34397,2019-01-25T18:46:02Z,2026-08-20T16:27:33Z,2026-08-20T06:50:36Z,Go,1068,258,2376,2328
